plan_id,プラン名,工事内容,HS基準価格_円,相場_最小_円,相場_最大_円,区分1_個人業者_最小,区分1_個人業者_最大,区分2_中小工務店_最小,区分2_中小工務店_最大,区分3_人気工務店_最小,区分3_人気工務店_最大,区分4_大手リフォーム_最小,区分4_大手リフォーム_最大,耐用年数,補助金額_円,保証年数
konsento_simple,コンセント増設（既存分岐）,,12000,5000,15000,11400,11760,12000,12360,12600,13200,13440,14160,,,
konsento_new_wiring,コンセント新規配線,,40000,15000,50000,38000,39200,40000,41200,42000,44000,44800,47200,,,
outdoor_konsento,屋外コンセント増設,,55000,15000,70000,52250,53900,55000,56650,57750,60500,61600,64900,,,
200v_conversion_existing,100V→200V変更,,25000,10000,30000,23750,24500,25000,25750,26250,27500,28000,29500,,,
200v_dedicated_circuit,200V専用回路新設,,65000,30000,80000,61750,63700,65000,66950,68250,71500,72800,76700,,,
distribution_board_upgrade,分電盤交換大型,,180000,100000,200000,171000,176400,180000,185400,189000,198000,201600,212400,,,
led_whole_house,全室LED化6部屋,,240000,100000,300000,228000,235200,240000,247200,252000,264000,268800,283200,,,
ev_charging,EV充電用コンセント,,70000,30000,80000,66500,68600,70000,72100,73500,77000,78400,82600,,,
single2_to_single3,単2→単3変更,,260000,100000,300000,247000,254800,260000,267800,273000,286000,291200,306800,,,
full_rewiring_30tsubo,配線引き直し30坪,,1200000,500000,1500000,1140000,1176000,1200000,1236000,1260000,1320000,1344000,1416000,,,
v2_hikikomi_sen_new,【v2】引込線新設,,80000,30000,100000,76000,78400,80000,82400,84000,88000,89600,94400,,,
v2_sanso_dougyoku_residential,【v2】三相動力住宅引込み,,220000,100000,250000,209000,215600,220000,226600,231000,242000,246400,259600,,,
v2_sanso_dougyoku_business,【v2】三相動力事業所引込み,,850000,300000,1500000,807500,833000,850000,875500,892500,935000,952000,1003000,,,
v2_aircon_200v_dedicated,【v2】エアコン用200V専用引込み,,40000,15000,50000,38000,39200,40000,41200,42000,44000,44800,47200,,,
v2_tohden_application,【v2】東電申請代行,,25000,10000,30000,23750,24500,25000,25750,26250,27500,28000,29500,,,
v2_private_pole,【v2】引込柱（私設ポール）,,260000,100000,300000,247000,254800,260000,267800,273000,286000,291200,306800,,,
v2_24hour_ventilation,【v2】24時間換気システム30坪,,420000,150000,500000,399000,411600,420000,432600,441000,462000,470400,495600,,,
v2_range_hood_replace,【v2】レンジフード交換,,220000,100000,250000,209000,215600,220000,226600,231000,242000,246400,259600,,,
v2_bath_kanso,【v2】浴室換気乾燥機,,160000,80000,180000,152000,156800,160000,164800,168000,176000,179200,188800,,,
v2_restaurant_food_duct_small,【v2】飲食店フードダクト小規模,,620000,400000,700000,589000,607600,620000,638600,651000,682000,694400,731600,,,
v2_restaurant_food_duct_roof,【v2】飲食店フードダクト屋上排気,,2100000,1000000,2500000,1995000,2058000,2100000,2163000,2205000,2310000,2352000,2478000,,,
v2_cove_shoumei,【v2】コーブ照明（天井折上げ）,,220000,100000,250000,209000,215600,220000,226600,231000,242000,246400,259600,,,
v2_cornice_shoumei,【v2】コーニス照明（壁カーテン）,,180000,80000,200000,171000,176400,180000,185400,189000,198000,201600,212400,,,
v2_kantan_kansetsu_retrofit,【v2】かんたん間接（後付け）,,70000,30000,80000,66500,68600,70000,72100,73500,77000,78400,82600,,,
v2_foot_light,【v2】フットライト1箇所,,25000,15000,30000,23750,24500,25000,25750,26250,27500,28000,29500,,,
v2_under_shelf_light,【v2】棚下照明,,55000,20000,60000,52250,53900,55000,56650,57750,60500,61600,64900,,,
v2_cat6_room,【v2】LAN CAT6 1室,,35000,15000,40000,33250,34300,35000,36050,36750,38500,39200,41300,,,
v2_cat6a_room,【v2】LAN CAT6A 1室,,55000,25000,60000,52250,53900,55000,56650,57750,60500,61600,64900,,,
v2_whole_house_lan,【v2】戸建全室LAN,,220000,100000,250000,209000,215600,220000,226600,231000,242000,246400,259600,,,
v2_chideji_antenna,【v2】地デジアンテナ,,35000,20000,40000,33250,34300,35000,36050,36750,38500,39200,41300,,,
v2_bs_cs_antenna,【v2】BS/CS 4K8Kアンテナ,,30000,15000,35000,28500,29400,30000,30900,31500,33000,33600,35400,,,
v2_wifi_intercom,【v2】Wi-Fiスマートインターホン,,100000,50000,120000,95000,98000,100000,103000,105000,110000,112000,118000,,,
v2_fire_alarm_5rooms,【v2】火災警報器5部屋,,100000,60000,120000,95000,98000,100000,103000,105000,110000,112000,118000,,,
v2_grounding_d_type,【v2】D種接地,,25000,10000,30000,23750,24500,25000,25750,26250,27500,28000,29500,,,
v2_solar_5kw,【v2】太陽光5kW,,1350000,1000000,1500000,1282500,1323000,1350000,1390500,1417500,1485000,1512000,1593000,,,
v2_battery_10kwh,【v2】蓄電池10kWh,,2200000,1500000,2500000,2090000,2156000,2200000,2266000,2310000,2420000,2464000,2596000,,,
v2_v2h,【v2】V2H基本,,850000,500000,1000000,807500,833000,850000,875500,892500,935000,952000,1003000,,,
v2_electric_floor_10jo,【v2】電気床暖房10畳,,620000,300000,700000,589000,607600,620000,638600,651000,682000,694400,731600,,,
v2_power_conditioner_replace,【v2】パワコン交換,,350000,200000,400000,332500,343000,350000,360500,367500,385000,392000,413000,,,
